feature,mean_abs_shap
M4,0.0005391546
S2,0.0004849736
P6,0.00031987863
P13,0.00021112897
V13,0.00021055693
E19,0.000210501
V7,0.00019230525
M12,0.00018231895
M1,0.00015194721
M11,0.00014588256
S5,0.00013586144
P8,0.0001337549
E12,0.00013323147
P5,0.00013196253
S12,0.00012912678
E20,0.00012834318
P10,0.00012657736
I3,0.0001222156
P3,0.00012016706
M2,0.000119082215
M9,0.00011662344
M10,0.00011468619
P11,0.00011241473
S8,0.00011199406
S7,0.000106215426
E11,0.00010546999
P7,9.447328e-05
S10,9.056647e-05
E15,8.9751135e-05
E4,8.9396446e-05
M3,8.85955e-05
I2,8.8336834e-05
S6,8.556598e-05
M5,8.080229e-05
D8,7.877017e-05
I4,7.828714e-05
V9,7.807388e-05
S9,7.748176e-05
M7,7.5554446e-05
E17,7.5345146e-05
P9,7.4588694e-05
M8,7.435346e-05
I7,7.3114636e-05
V3,7.296245e-05
S1,7.257249e-05
P12,7.064946e-05
I8,6.999812e-05
V5,6.6992056e-05
E2,6.632665e-05
I1,6.61112e-05
E10,6.591955e-05
P4,6.446616e-05
V2,6.3607455e-05
E3,6.187216e-05
D1,6.0050956e-05
E18,5.986033e-05
E16,5.9205297e-05
M15,5.764017e-05
E7,5.7545603e-05
E8,5.647577e-05
M18,5.5970275e-05
V4,5.367437e-05
S11,5.3332144e-05
S4,5.2431395e-05
P2,5.076112e-05
I6,4.8286576e-05
E9,4.8104517e-05
M6,4.3224907e-05
D4,4.2780346e-05
M17,3.8542377e-05
S3,3.6641668e-05
E6,3.53355e-05
D7,3.5103367e-05
V10,3.457553e-05
D6,3.3522483e-05
E14,3.294204e-05
I9,3.2704895e-05
E1,3.199325e-05
I5,3.0598276e-05
V1,2.9554207e-05
M13,2.9097695e-05
E5,2.803818e-05
E13,2.591732e-05
P1,2.5134374e-05
V6,2.4449551e-05
M14,2.2665874e-05
V8,1.6979982e-05
V11,1.6426526e-05
V12,1.4620377e-05
M16,1.3669032e-05
D5,1.065121e-05
D2,5.7483935e-06
D3,2.8073428e-06
D9,9.714058e-07
