Model,Strategy,Sharpe_Ratio,MDD,Total_Return
Buy_and_Hold,Buy_and_Hold,0.7643,-0.1378,0.0833
LSTM_ds1_fsY_huber_vanilla,Vanilla,0.7401,-0.1363,0.0791
LSTM_ds1_fsY_huber_kelly,Kelly,-0.1321,-0.1229,-0.0325
LSTM_ds1_fsY_mse_vanilla,Vanilla,0.7546,-0.1379,0.0825
LSTM_ds1_fsY_mse_kelly,Kelly,-0.1452,-0.172,-0.0366
LSTM_ds1_fsN_huber_vanilla,Vanilla,0.6798,-0.1396,0.0732
LSTM_ds1_fsN_huber_kelly,Kelly,-0.2562,-0.1605,-0.0547
LSTM_ds1_fsN_mse_vanilla,Vanilla,0.7869,-0.1342,0.0861
LSTM_ds1_fsN_mse_kelly,Kelly,0.6356,-0.1682,0.087
XGB_ds1_fsY_mse_vanilla,Vanilla,1.1558,-0.1119,0.1314
XGB_ds1_fsY_mse_kelly,Kelly,1.8466,-0.107,0.3167
XGB_ds1_fsN_mse_vanilla,Vanilla,1.262,-0.1093,0.1468
XGB_ds1_fsN_mse_kelly,Kelly,1.7553,-0.0866,0.2939
REG_ds1_fsY_mse_vanilla,Vanilla,0.8725,-0.1476,0.1021
REG_ds1_fsY_mse_kelly,Kelly,1.1369,-0.2122,0.2108
REG_ds1_fsN_mse_vanilla,Vanilla,0.9347,-0.1352,0.1127
REG_ds1_fsN_mse_kelly,Kelly,0.6693,-0.1726,0.1092
LSTM_ds2_fsY_huber_vanilla,Vanilla,0.7702,-0.1402,0.0861
LSTM_ds2_fsY_huber_kelly,Kelly,1.4365,-0.1105,0.2445
LSTM_ds2_fsY_mse_vanilla,Vanilla,0.7154,-0.144,0.0785
LSTM_ds2_fsY_mse_kelly,Kelly,-0.6673,-0.1951,-0.1191
LSTM_ds2_fsN_huber_vanilla,Vanilla,0.7384,-0.1355,0.0817
LSTM_ds2_fsN_huber_kelly,Kelly,0.6958,-0.1127,0.0948
LSTM_ds2_fsN_mse_vanilla,Vanilla,0.7676,-0.1407,0.084
LSTM_ds2_fsN_mse_kelly,Kelly,1.3329,-0.1246,0.1971
XGB_ds2_fsY_mse_vanilla,Vanilla,0.93,-0.1249,0.104
XGB_ds2_fsY_mse_kelly,Kelly,0.7878,-0.1192,0.1096
XGB_ds2_fsN_mse_vanilla,Vanilla,0.9494,-0.1224,0.1034
XGB_ds2_fsN_mse_kelly,Kelly,0.9169,-0.1187,0.1285
REG_ds2_fsY_mse_vanilla,Vanilla,0.9702,-0.1382,0.1123
REG_ds2_fsY_mse_kelly,Kelly,1.0395,-0.1623,0.1537
REG_ds2_fsN_mse_vanilla,Vanilla,0.8707,-0.1346,0.0995
REG_ds2_fsN_mse_kelly,Kelly,0.9529,-0.1413,0.1369
LSTM_ds3_fsY_huber_vanilla,Vanilla,0.7886,-0.1382,0.0873
